xmin,ymin,xmax,ymax,label,score,geometry
332.0,105.0,506.0,260.0,Tree,0.22121763229370117,"POLYGON ((506 105, 506 260, 332 260, 332 105, 506 105))"
728.0,459.0,954.0,689.0,Tree,0.2106892615556717,"POLYGON ((954 459, 954 689, 728 689, 728 459, 954 459))"
169.0,490.0,229.0,538.0,Tree,0.20603397488594055,"POLYGON ((229 490, 229 538, 169 538, 169 490, 229 490))"
379.0,0.0,451.0,50.0,Tree,0.19079381227493286,"POLYGON ((451 0, 451 50, 379 50, 379 0, 451 0))"
242.0,472.0,316.0,536.0,Tree,0.1798354536294937,"POLYGON ((316 472, 316 536, 242 536, 242 472, 316 472))"
243.0,0.0,355.0,47.0,Tree,0.15354511141777039,"POLYGON ((355 0, 355 47, 243 47, 243 0, 355 0))"
506.0,0.0,632.0,66.0,Tree,0.14836525917053223,"POLYGON ((632 0, 632 66, 506 66, 506 0, 632 0))"
501.0,452.0,561.0,506.0,Tree,0.12205405533313751,"POLYGON ((561 452, 561 506, 501 506, 501 452, 561 452))"
627.0,0.0,717.0,43.0,Tree,0.11847826093435287,"POLYGON ((717 0, 717 43, 627 43, 627 0, 717 0))"
560.0,547.0,600.0,585.0,Tree,0.11006074398756027,"POLYGON ((600 547, 600 585, 560 585, 560 547, 600 547))"
690.0,73.0,968.0,350.0,Tree,0.10758045315742493,"POLYGON ((968 73, 968 350, 690 350, 690 73, 968 73))"
554.0,424.0,678.0,541.0,Tree,0.10609064996242523,"POLYGON ((678 424, 678 541, 554 541, 554 424, 678 424))"
886.0,0.0,955.0,12.0,Tree,0.10043839365243912,"POLYGON ((955 0, 955 12, 886 12, 886 0, 955 0))"
