xmin,ymin,xmax,ymax,label,score,geometry
1395.0,960.0,1791.0,1365.0,Tree,0.24315707385540009,"POLYGON ((1791 960, 1791 1365, 1395 1365, 1395 960, 1791 960))"
611.0,211.0,941.0,522.0,Tree,0.22525036334991455,"POLYGON ((941 211, 941 522, 611 522, 611 211, 941 211))"
1260.0,47.0,1823.0,629.0,Tree,0.21724405884742737,"POLYGON ((1823 47, 1823 629, 1260 629, 1260 47, 1823 47))"
963.0,0.0,1213.0,142.0,Tree,0.15514875948429108,"POLYGON ((1213 0, 1213 142, 963 142, 963 0, 1213 0))"
315.0,1005.0,445.0,1109.0,Tree,0.13739734888076782,"POLYGON ((445 1005, 445 1109, 315 1109, 315 1005, 445 1005))"
693.0,0.0,848.0,95.0,Tree,0.12951378524303436,"POLYGON ((848 0, 848 95, 693 95, 693 0, 848 0))"
1433.0,1616.0,1773.0,1912.0,Tree,0.12349720299243927,"POLYGON ((1773 1616, 1773 1912, 1433 1912, 1433 1616, 1773 1616))"
1018.0,845.0,1319.0,1136.0,Tree,0.12061633914709091,"POLYGON ((1319 845, 1319 1136, 1018 1136, 1018 845, 1319 845))"
454.0,969.0,612.0,1110.0,Tree,0.11931879818439484,"POLYGON ((612 969, 612 1110, 454 1110, 454 969, 612 969))"
1226.0,135.0,1365.0,280.0,Tree,0.11176212131977081,"POLYGON ((1365 135, 1365 280, 1226 280, 1226 135, 1365 135))"
429.0,1.0,658.0,142.0,Tree,0.1113545373082161,"POLYGON ((658 1, 658 142, 429 142, 429 1, 658 1))"
1647.0,0.0,1788.0,26.0,Tree,0.10385920852422714,"POLYGON ((1788 0, 1788 26, 1647 26, 1647 0, 1788 0))"
