xmin,ymin,xmax,ymax,label,score,geometry
86.0,32.0,120.0,66.0,Tree,0.33888769149780273,"POLYGON ((120 32, 120 66, 86 66, 86 32, 120 32))"
110.0,75.0,146.0,107.0,Tree,0.24646228551864624,"POLYGON ((146 75, 146 107, 110 107, 110 75, 146 75))"
75.0,218.0,92.0,234.0,Tree,0.23163370788097382,"POLYGON ((92 218, 92 234, 75 234, 75 218, 92 218))"
451.0,8.0,475.0,34.0,Tree,0.17058788239955902,"POLYGON ((475 8, 475 34, 451 34, 451 8, 475 8))"
45.0,433.0,66.0,459.0,Tree,0.137188121676445,"POLYGON ((66 433, 66 459, 45 459, 45 433, 66 433))"
414.0,389.0,442.0,416.0,Tree,0.13275836408138275,"POLYGON ((442 389, 442 416, 414 416, 414 389, 442 389))"
472.0,133.0,497.0,156.0,Tree,0.12903721630573273,"POLYGON ((497 133, 497 156, 472 156, 472 133, 497 133))"
444.0,89.0,476.0,119.0,Tree,0.12756136059761047,"POLYGON ((476 89, 476 119, 444 119, 444 89, 476 89))"
473.0,349.0,493.0,369.0,Tree,0.124936044216156,"POLYGON ((493 349, 493 369, 473 369, 473 349, 493 349))"
178.0,199.0,202.0,220.0,Tree,0.12445264309644699,"POLYGON ((202 199, 202 220, 178 220, 178 199, 202 199))"
