Imagen,Resolución,Patch_size,Score_thresh,Detections,TP,FP,FN,Precision,Recall,F1
single_batch_0,original,256,0.05,11,,,,,,
single_batch_0,original,256,0.1,11,,,,,,
single_batch_0,original,256,0.3,0,,,,,,
single_batch_0,original,512,0.05,11,,,,,,
single_batch_0,original,512,0.1,11,,,,,,
single_batch_0,original,512,0.3,0,,,,,,
single_batch_0,original,800,0.05,11,,,,,,
single_batch_0,original,800,0.1,11,,,,,,
single_batch_0,original,800,0.3,0,,,,,,
single_batch_0,medio,256,0.05,1,,,,,,
single_batch_0,medio,256,0.1,1,,,,,,
single_batch_0,medio,256,0.3,0,,,,,,
single_batch_0,medio,512,0.05,1,,,,,,
single_batch_0,medio,512,0.1,1,,,,,,
single_batch_0,medio,512,0.3,0,,,,,,
single_batch_0,medio,800,0.05,1,,,,,,
single_batch_0,medio,800,0.1,1,,,,,,
single_batch_0,medio,800,0.3,0,,,,,,
single_batch_0,pequeno,256,0.05,10,,,,,,
single_batch_0,pequeno,256,0.1,10,,,,,,
single_batch_0,pequeno,256,0.3,1,,,,,,
single_batch_0,pequeno,512,0.05,10,,,,,,
single_batch_0,pequeno,512,0.1,10,,,,,,
single_batch_0,pequeno,512,0.3,1,,,,,,
single_batch_0,pequeno,800,0.05,10,,,,,,
single_batch_0,pequeno,800,0.1,10,,,,,,
single_batch_0,pequeno,800,0.3,1,,,,,,
single_batch_1,original,256,0.05,7,,,,,,
single_batch_1,original,256,0.1,7,,,,,,
single_batch_1,original,256,0.3,0,,,,,,
single_batch_1,original,512,0.05,7,,,,,,
single_batch_1,original,512,0.1,7,,,,,,
single_batch_1,original,512,0.3,0,,,,,,
single_batch_1,original,800,0.05,7,,,,,,
single_batch_1,original,800,0.1,7,,,,,,
single_batch_1,original,800,0.3,0,,,,,,
single_batch_1,medio,256,0.05,3,,,,,,
single_batch_1,medio,256,0.1,3,,,,,,
single_batch_1,medio,256,0.3,0,,,,,,
single_batch_1,medio,512,0.05,3,,,,,,
single_batch_1,medio,512,0.1,3,,,,,,
single_batch_1,medio,512,0.3,0,,,,,,
single_batch_1,medio,800,0.05,3,,,,,,
single_batch_1,medio,800,0.1,3,,,,,,
single_batch_1,medio,800,0.3,0,,,,,,
single_batch_1,pequeno,256,0.05,4,,,,,,
single_batch_1,pequeno,256,0.1,4,,,,,,
single_batch_1,pequeno,256,0.3,0,,,,,,
single_batch_1,pequeno,512,0.05,4,,,,,,
single_batch_1,pequeno,512,0.1,4,,,,,,
single_batch_1,pequeno,512,0.3,0,,,,,,
single_batch_1,pequeno,800,0.05,4,,,,,,
single_batch_1,pequeno,800,0.1,4,,,,,,
single_batch_1,pequeno,800,0.3,0,,,,,,
single_batch_2,original,256,0.05,12,,,,,,
single_batch_2,original,256,0.1,12,,,,,,
single_batch_2,original,256,0.3,0,,,,,,
single_batch_2,original,512,0.05,12,,,,,,
single_batch_2,original,512,0.1,12,,,,,,
single_batch_2,original,512,0.3,0,,,,,,
single_batch_2,original,800,0.05,12,,,,,,
single_batch_2,original,800,0.1,12,,,,,,
single_batch_2,original,800,0.3,0,,,,,,
single_batch_2,medio,256,0.05,13,,,,,,
single_batch_2,medio,256,0.1,13,,,,,,
single_batch_2,medio,256,0.3,0,,,,,,
single_batch_2,medio,512,0.05,13,,,,,,
single_batch_2,medio,512,0.1,13,,,,,,
single_batch_2,medio,512,0.3,0,,,,,,
single_batch_2,medio,800,0.05,13,,,,,,
single_batch_2,medio,800,0.1,13,,,,,,
single_batch_2,medio,800,0.3,0,,,,,,
single_batch_2,pequeno,256,0.05,13,,,,,,
single_batch_2,pequeno,256,0.1,13,,,,,,
single_batch_2,pequeno,256,0.3,2,,,,,,
single_batch_2,pequeno,512,0.05,13,,,,,,
single_batch_2,pequeno,512,0.1,13,,,,,,
single_batch_2,pequeno,512,0.3,2,,,,,,
single_batch_2,pequeno,800,0.05,13,,,,,,
single_batch_2,pequeno,800,0.1,13,,,,,,
single_batch_2,pequeno,800,0.3,2,,,,,,
