xmin,ymin,xmax,ymax,label,score,geometry
60.0,210.0,79.0,227.0,Tree,0.24381768703460693,"POLYGON ((79 210, 79 227, 60 227, 60 210, 79 210))"
228.0,326.0,261.0,357.0,Tree,0.21841441094875336,"POLYGON ((261 326, 261 357, 228 357, 228 326, 261 326))"
276.0,319.0,311.0,355.0,Tree,0.21344712376594543,"POLYGON ((311 319, 311 355, 276 355, 276 319, 311 319))"
286.0,172.0,311.0,193.0,Tree,0.21077804267406464,"POLYGON ((311 172, 311 193, 286 193, 286 172, 311 172))"
161.0,321.0,194.0,354.0,Tree,0.20470629632472992,"POLYGON ((194 321, 194 354, 161 354, 161 321, 194 321))"
190.0,288.0,223.0,322.0,Tree,0.19915246963500977,"POLYGON ((223 288, 223 322, 190 322, 190 288, 223 288))"
362.0,195.0,394.0,227.0,Tree,0.19418378174304962,"POLYGON ((394 195, 394 227, 362 227, 362 195, 394 195))"
216.0,252.0,235.0,272.0,Tree,0.18876920640468597,"POLYGON ((235 252, 235 272, 216 272, 216 252, 235 252))"
139.0,294.0,166.0,321.0,Tree,0.18003104627132416,"POLYGON ((166 294, 166 321, 139 321, 139 294, 166 294))"
368.0,232.0,392.0,255.0,Tree,0.1797472983598709,"POLYGON ((392 232, 392 255, 368 255, 368 232, 392 232))"
285.0,202.0,304.0,219.0,Tree,0.16520744562149048,"POLYGON ((304 202, 304 219, 285 219, 285 202, 304 202))"
216.0,368.0,242.0,390.0,Tree,0.16369745135307312,"POLYGON ((242 368, 242 390, 216 390, 216 368, 242 368))"
317.0,330.0,339.0,353.0,Tree,0.15992620587348938,"POLYGON ((339 330, 339 353, 317 353, 317 330, 339 330))"
427.0,235.0,475.0,282.0,Tree,0.1572525054216385,"POLYGON ((475 235, 475 282, 427 282, 427 235, 475 235))"
281.0,374.0,310.0,403.0,Tree,0.15669330954551697,"POLYGON ((310 374, 310 403, 281 403, 281 374, 310 374))"
332.0,344.0,362.0,374.0,Tree,0.14940476417541504,"POLYGON ((362 344, 362 374, 332 374, 332 344, 362 344))"
316.0,368.0,340.0,391.0,Tree,0.1418895572423935,"POLYGON ((340 368, 340 391, 316 391, 316 368, 340 368))"
403.0,215.0,432.0,243.0,Tree,0.14024607837200165,"POLYGON ((432 215, 432 243, 403 243, 403 215, 432 215))"
265.0,396.0,288.0,419.0,Tree,0.13801798224449158,"POLYGON ((288 396, 288 419, 265 419, 265 396, 288 396))"
238.0,288.0,270.0,321.0,Tree,0.13552282750606537,"POLYGON ((270 288, 270 321, 238 321, 238 288, 270 288))"
277.0,144.0,296.0,162.0,Tree,0.13397951424121857,"POLYGON ((296 144, 296 162, 277 162, 277 144, 296 144))"
126.0,156.0,143.0,172.0,Tree,0.13261204957962036,"POLYGON ((143 156, 143 172, 126 172, 126 156, 143 156))"
29.0,214.0,53.0,238.0,Tree,0.1320013403892517,"POLYGON ((53 214, 53 238, 29 238, 29 214, 53 214))"
128.0,125.0,145.0,142.0,Tree,0.12995244562625885,"POLYGON ((145 125, 145 142, 128 142, 128 125, 145 125))"
396.0,320.0,509.0,433.0,Tree,0.10279881954193115,"POLYGON ((509 320, 509 433, 396 433, 396 320, 509 320))"
315.0,414.0,384.0,466.0,Tree,0.10161680728197098,"POLYGON ((384 414, 384 466, 315 466, 315 414, 384 414))"
