xmin,ymin,xmax,ymax,label,score,geometry
181.0,196.0,204.0,217.0,Tree,0.5159581303596497,"POLYGON ((204 196, 204 217, 181 217, 181 196, 204 196))"
300.0,400.0,329.0,423.0,Tree,0.49779704213142395,"POLYGON ((329 400, 329 423, 300 423, 300 400, 329 400))"
474.0,346.0,496.0,367.0,Tree,0.4961458742618561,"POLYGON ((496 346, 496 367, 474 367, 474 346, 496 346))"
74.0,214.0,92.0,233.0,Tree,0.47426843643188477,"POLYGON ((92 214, 92 233, 74 233, 74 214, 92 214))"
38.0,425.0,64.0,449.0,Tree,0.4604793190956116,"POLYGON ((64 425, 64 449, 38 449, 38 425, 64 425))"
138.0,208.0,161.0,231.0,Tree,0.4479596018791199,"POLYGON ((161 208, 161 231, 138 231, 138 208, 161 208))"
471.0,133.0,496.0,155.0,Tree,0.434550017118454,"POLYGON ((496 133, 496 155, 471 155, 471 133, 496 133))"
354.0,356.0,381.0,378.0,Tree,0.4295790195465088,"POLYGON ((381 356, 381 378, 354 378, 354 356, 381 356))"
417.0,177.0,442.0,198.0,Tree,0.42837387323379517,"POLYGON ((442 177, 442 198, 417 198, 417 177, 442 177))"
417.0,387.0,444.0,413.0,Tree,0.4105534255504608,"POLYGON ((444 387, 444 413, 417 413, 417 387, 444 387))"
112.0,73.0,145.0,105.0,Tree,0.3970852196216583,"POLYGON ((145 73, 145 105, 112 105, 112 73, 145 73))"
408.0,307.0,435.0,334.0,Tree,0.36572715640068054,"POLYGON ((435 307, 435 334, 408 334, 408 307, 435 307))"
206.0,460.0,234.0,468.0,Tree,0.3542950749397278,"POLYGON ((234 460, 234 468, 206 468, 206 460, 234 460))"
322.0,442.0,345.0,463.0,Tree,0.3460823893547058,"POLYGON ((345 442, 345 463, 322 463, 322 442, 345 442))"
132.0,250.0,150.0,267.0,Tree,0.3256184756755829,"POLYGON ((150 250, 150 267, 132 267, 132 250, 150 250))"
196.0,374.0,218.0,391.0,Tree,0.31904396414756775,"POLYGON ((218 374, 218 391, 196 391, 196 374, 218 374))"
452.0,6.0,474.0,30.0,Tree,0.31695738434791565,"POLYGON ((474 6, 474 30, 452 30, 452 6, 474 6))"
